image_name,bb_x1,bb_y1,bb_x2,bb_y2,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,score
22q11DSSlide2.png,92.758,99.113,385.636,456.403,192.538,238.889,320.169,242.195,268.779,297.760,219.515,373.493,298.020,374.606,0.732
22q11DSSlide3.png,124.092,124.197,388.878,444.007,192.344,237.699,319.874,238.528,255.488,312.675,217.714,375.268,296.364,376.064,0.733
22q11DSSlide4.png,82.567,77.094,395.678,453.762,194.179,237.229,336.829,247.606,285.465,279.594,214.974,369.683,318.190,376.929,0.712
22q11DSSlide5.png,65.553,13.006,439.851,492.041,184.914,246.450,346.814,242.572,275.733,319.099,219.730,409.330,322.835,404.791,0.852
22q11DSSlide6.png,138.390,112.226,392.281,460.673,198.605,239.165,316.955,239.781,252.419,304.641,216.073,376.328,296.500,377.416,0.848
22q11DSSlide7.png,103.449,85.255,396.842,441.022,191.203,238.789,320.085,241.121,259.509,279.285,217.117,361.344,300.524,362.269,0.797
22q11DSSlide8.png,121.503,74.632,374.032,438.879,194.892,240.107,318.486,237.301,263.739,312.100,219.144,376.166,298.991,372.917,0.823
22q11DSSlide9.png,114.412,96.470,402.460,431.496,191.618,244.529,316.240,242.945,252.520,304.995,219.780,369.751,296.773,368.150,0.807
22q11DSSlide10.png,124.141,119.916,394.893,436.927,190.146,243.251,316.429,242.201,248.673,278.001,208.859,351.034,295.057,351.202,0.848
22q11DSSlide11.png,107.899,61.742,384.919,432.808,195.819,240.445,322.273,241.757,267.753,306.245,219.664,375.533,300.542,375.329,0.791
22q11DSSlide12.png,121.770,76.072,401.693,420.647,193.486,245.826,320.187,243.524,256.427,301.115,218.470,368.389,299.956,365.823,0.769
22q11DSSlide13.png,114.864,87.439,396.905,438.362,192.682,241.792,320.106,242.067,257.051,308.090,217.272,374.433,299.566,374.073,0.844
22q11DSSlide14.png,122.182,79.941,385.435,432.991,193.995,242.878,316.647,239.041,257.750,322.699,211.404,368.065,301.533,364.681,0.819
22q11DSSlide15.png,136.151,125.163,380.776,460.568,192.609,240.579,316.944,237.639,253.470,311.832,209.694,377.165,301.321,374.910,0.867
22q11DSSlide16.png,129.534,84.758,374.367,434.891,196.249,241.550,315.850,239.488,260.729,329.332,211.791,367.876,305.816,364.894,0.815
22q11DSSlide17.png,133.158,81.825,379.459,447.074,193.374,241.183,318.984,240.406,256.554,307.936,212.997,375.685,299.023,374.288,0.851
22q11DSSlide21.png,127.999,104.772,387.951,447.571,193.800,242.587,317.632,241.532,254.259,303.973,211.597,370.488,295.856,369.691,0.834
22q11DSSlide22.png,152.464,105.350,385.469,449.634,191.991,244.007,311.893,235.602,240.861,283.132,207.894,367.259,298.190,361.509,0.818
22q11DSSlide23.png,121.618,96.794,397.443,451.305,189.703,241.915,320.860,242.052,252.679,290.599,210.952,368.043,298.902,368.295,0.789
22q11DSSlide24.png,96.684,110.914,376.923,462.017,194.431,240.097,320.080,241.225,269.053,316.147,204.579,374.507,302.122,375.416,0.769
22q11DSSlide25.png,134.399,99.080,400.934,436.298,191.313,241.865,316.678,239.813,246.754,312.782,212.647,364.137,300.232,363.225,0.717
22q11DSSlide26.png,114.240,91.765,389.048,454.304,188.872,243.430,328.937,243.222,265.549,287.524,203.245,367.221,319.613,367.105,0.800
22q11DSSlide27.png,115.723,105.759,398.474,476.483,184.818,248.300,326.590,242.033,258.317,335.294,219.380,407.196,304.098,401.785,0.819
22q11DSSlide28.png,97.004,51.558,377.575,439.939,189.478,241.211,320.116,240.386,267.900,304.759,213.124,373.660,305.443,371.977,0.690
22q11DSSlide29.png,96.593,8.245,513.462,469.094,185.460,232.716,370.497,228.845,259.948,275.835,207.315,385.032,343.383,381.191,0.795
22q11DSSlide30.png,116.010,91.170,395.078,448.952,193.308,238.377,317.866,239.866,254.415,299.109,209.914,367.219,299.363,368.713,0.770
22q11DSSlide31.png,110.247,103.104,408.011,405.115,189.120,246.602,318.899,244.051,254.463,293.845,215.532,351.642,308.122,348.961,0.699
22q11DSSlide32.png,115.982,96.214,375.659,410.011,192.369,244.915,315.961,244.222,261.188,303.749,217.647,363.745,300.104,361.764,0.686
22q11DSSlide33.png,113.631,139.430,443.561,471.260,214.775,349.389,312.236,241.624,315.292,357.674,300.833,423.210,395.337,334.799,0.731
22q11DSSlide34.png,124.618,104.003,385.953,435.657,193.418,242.206,313.866,242.964,253.065,294.584,209.728,356.179,302.898,355.836,0.782
22q11DSSlide35.png,140.199,95.342,430.265,455.882,188.355,238.520,320.036,243.196,236.937,324.589,206.481,365.932,321.555,370.204,0.762
22q11DSSlide36.png,117.630,56.127,440.418,461.457,242.716,247.605,383.463,256.118,324.065,336.089,242.117,376.168,347.211,384.433,0.705
22q11DSSlide37.png,92.197,93.667,390.393,459.472,188.026,244.115,323.075,239.371,265.876,328.209,194.812,363.349,311.880,359.735,0.685
22q11DSSlide38.png,73.966,110.092,374.951,447.710,192.626,245.151,326.146,245.761,280.720,312.706,202.167,366.732,311.393,366.628,0.748
22q11DSSlide39.png,112.119,136.567,389.670,425.538,194.590,240.986,318.958,241.615,260.410,302.754,205.940,349.514,302.234,350.625,0.834
22q11DSSlide40.png,61.140,78.440,345.977,447.175,198.865,240.492,309.367,237.277,290.928,307.158,227.242,382.246,303.993,378.873,0.683
22q11DSSlide41.png,112.239,67.841,397.312,442.666,188.182,239.708,320.453,241.536,253.443,313.716,206.286,369.728,299.098,371.072,0.823
22q11DSSlide42.png,129.559,135.953,424.604,435.397,192.872,269.219,323.271,247.167,259.496,327.737,233.735,392.538,318.919,375.438,0.746
22q11DSSlide43.png,119.263,94.762,394.334,437.855,190.505,244.294,319.684,241.160,255.385,312.060,209.945,365.814,301.895,363.163,0.746
22q11DSSlide44.png,59.259,57.564,418.050,498.665,179.937,255.005,333.998,234.998,284.370,307.828,223.668,399.929,344.689,380.806,0.827
22q11DSSlide45.png,70.030,57.305,374.383,476.240,191.678,237.377,321.257,241.270,281.784,295.701,200.805,367.827,312.599,370.672,0.763
22q11DSSlide46.png,109.785,131.184,387.585,450.335,191.372,242.246,324.258,242.969,263.813,313.621,204.517,365.531,308.643,365.842,0.798
22q11DSSlide47.png,130.211,85.479,397.392,422.030,191.061,241.445,318.204,241.958,249.302,312.694,207.732,365.651,298.364,366.164,0.816
22q11DSSlide48.png,120.424,93.087,379.624,448.536,193.653,240.497,318.691,242.259,260.457,297.531,216.843,373.781,300.567,374.205,0.790
