image_name,bb_x1,bb_y1,bb_x2,bb_y2,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,score,fold-1,fold-2,fold-3,fold-4,fold-5
22q11DSSlide2.png,92.758,99.113,385.636,456.403,192.538,238.889,320.169,242.195,268.779,297.76,219.515,373.493,298.02,374.606,0.732,train,train,val,train,train
22q11DSSlide3.png,124.092,124.197,388.878,444.007,192.344,237.699,319.874,238.528,255.488,312.675,217.714,375.268,296.364,376.064,0.733,val,train,train,train,train
22q11DSSlide4.png,82.567,77.094,395.678,453.762,194.179,237.229,336.829,247.606,285.465,279.594,214.974,369.683,318.19,376.929,0.712,train,train,train,val,train
22q11DSSlide5.png,65.553,13.006,439.851,492.041,184.914,246.45,346.814,242.572,275.733,319.099,219.73,409.33,322.835,404.791,0.852,val,train,train,train,train
22q11DSSlide6.png,138.39,112.226,392.281,460.673,198.605,239.165,316.955,239.781,252.419,304.641,216.073,376.328,296.5,377.416,0.848,train,train,train,train,val
22q11DSSlide7.png,103.449,85.255,396.842,441.022,191.203,238.789,320.085,241.121,259.509,279.285,217.117,361.344,300.524,362.269,0.797,train,val,train,train,train
22q11DSSlide8.png,121.503,74.632,374.032,438.879,194.892,240.107,318.486,237.301,263.739,312.1,219.144,376.166,298.991,372.917,0.823,train,train,val,train,train
22q11DSSlide9.png,114.412,96.47,402.46,431.496,191.618,244.529,316.24,242.945,252.52,304.995,219.78,369.751,296.773,368.15,0.807,train,train,train,val,train
22q11DSSlide10.png,124.141,119.916,394.893,436.927,190.146,243.251,316.429,242.201,248.673,278.001,208.859,351.034,295.057,351.202,0.848,train,train,train,train,val
22q11DSSlide11.png,107.899,61.742,384.919,432.808,195.819,240.445,322.273,241.757,267.753,306.245,219.664,375.533,300.542,375.329,0.791,val,train,train,train,train
22q11DSSlide12.png,121.77,76.072,401.693,420.647,193.486,245.826,320.187,243.524,256.427,301.115,218.47,368.389,299.956,365.823,0.769,train,val,train,train,train
22q11DSSlide13.png,114.864,87.439,396.905,438.362,192.682,241.792,320.106,242.067,257.051,308.09,217.272,374.433,299.566,374.073,0.844,train,train,train,train,val
22q11DSSlide14.png,122.182,79.941,385.435,432.991,193.995,242.878,316.647,239.041,257.75,322.699,211.404,368.065,301.533,364.681,0.819,train,train,val,train,train
22q11DSSlide15.png,136.151,125.163,380.776,460.568,192.609,240.579,316.944,237.639,253.47,311.832,209.694,377.165,301.321,374.91,0.867,train,train,train,val,train
22q11DSSlide16.png,129.534,84.758,374.367,434.891,196.249,241.55,315.85,239.488,260.729,329.332,211.791,367.876,305.816,364.894,0.815,val,train,train,train,train
22q11DSSlide17.png,133.158,81.825,379.459,447.074,193.374,241.183,318.984,240.406,256.554,307.936,212.997,375.685,299.023,374.288,0.851,train,val,train,train,train
22q11DSSlide21.png,127.999,104.772,387.951,447.571,193.8,242.587,317.632,241.532,254.259,303.973,211.597,370.488,295.856,369.691,0.834,train,train,val,train,train
22q11DSSlide22.png,152.464,105.35,385.469,449.634,191.991,244.007,311.893,235.602,240.861,283.132,207.894,367.259,298.19,361.509,0.818,train,train,train,val,train
22q11DSSlide23.png,121.618,96.794,397.443,451.305,189.703,241.915,320.86,242.052,252.679,290.599,210.952,368.043,298.902,368.295,0.789,train,train,val,train,train
22q11DSSlide24.png,96.684,110.914,376.923,462.017,194.431,240.097,320.08,241.225,269.053,316.147,204.579,374.507,302.122,375.416,0.769,train,val,train,train,train
22q11DSSlide25.png,134.399,99.08,400.934,436.298,191.313,241.865,316.678,239.813,246.754,312.782,212.647,364.137,300.232,363.225,0.717,val,train,train,train,train
22q11DSSlide26.png,114.24,91.765,389.048,454.304,188.872,243.43,328.937,243.222,265.549,287.524,203.245,367.221,319.613,367.105,0.8,train,train,train,train,val
22q11DSSlide27.png,115.723,105.759,398.474,476.483,184.818,248.3,326.59,242.033,258.317,335.294,219.38,407.196,304.098,401.785,0.819,train,train,train,train,val
